Months,Start Dates,End Dates,Investing,Price-MA Cross,Price-2MA Cross,2MA Cross,Bollinger Bands,RSI Strategy,Stochastic,MACD Cross
1,14/11/2021,14/12/2021,-1.13,-2.36,-1.86,-0.06,0.3,0.0,1.1,-1.5
2,14/10/2021,14/12/2021,-4.57,-4.39,-3.74,-0.88,1.31,0.0,1.81,-1.86
3,14/09/2021,14/12/2021,7.19,3.06,-0.12,-1.45,3.5,0.6,7.07,3.15
4,14/08/2021,14/12/2021,12.61,4.68,0.01,-1.06,5.17,1.73,9.85,5.26
5,14/07/2021,14/12/2021,13.14,0.61,-1.47,-0.48,6.47,4.72,10.51,6.3
6,14/06/2021,14/12/2021,4.25,-1.72,-2.07,-1.48,7.29,8.01,7.63,4.69
7,14/05/2021,14/12/2021,5.8,-2.56,-2.28,-1.58,4.78,7.56,6.33,2.16
8,14/04/2021,14/12/2021,3.45,-4.83,-2.61,-0.35,3.69,6.86,5.08,-0.04
9,14/03/2021,14/12/2021,-2.02,-8.37,-3.43,-1.69,2.61,3.28,1.52,-1.91
10,14/02/2021,14/12/2021,-3.8,-10.3,-5.47,-2.57,1.03,2.6,0.76,-3.6
11,14/01/2021,14/12/2021,-6.78,-13.62,-7.62,-2.5,2.57,3.01,2.55,-5.52
12,14/12/2020,14/12/2021,0.47,-13.76,-7.58,-2.73,2.43,2.34,0.24,-7.17
13,14/11/2020,14/12/2021,14.98,-11.3,-3.24,-2.27,2.5,2.34,0.86,-5.18
14,14/10/2020,14/12/2021,25.32,1.29,6.58,14.63,4.86,2.74,3.85,4.8
15,14/09/2020,14/12/2021,27.91,6.36,8.71,14.98,9.38,8.9,8.23,18.2
16,14/08/2020,14/12/2021,25.51,1.67,4.84,15.21,13.22,9.62,4.38,16.4
17,14/07/2020,14/12/2021,33.22,4.07,7.37,14.7,15.7,9.84,6.08,17.8
18,14/06/2020,14/12/2021,44.33,3.71,7.15,16.15,15.7,9.84,9.14,21.56
19,14/05/2020,14/12/2021,63.14,10.46,6.35,18.25,18.07,11.95,17.23,23.41
