Ticker-YF,Ticker,Name
ACES.JK,ACES,Ace Hardware Indonesia Tbk.
ADRO.JK,ADRO,Adaro Energy Tbk.
AKRA.JK,AKRA,AKR Corporindo Tbk.
ANTM.JK,ANTM,Aneka Tambang Tbk.
ASII.JK,ASII,Astra International Tbk.
BBCA.JK,BBCA,Bank Central Asia Tbk.
BBNI.JK,BBNI,Bank Negara Indonesia (Persero) Tbk.
BBRI.JK,BBRI,Bank Rakyat Indonesia (Persero) Tbk.
BBTN.JK,BBTN,Bank Tabungan Negara (Persero) Tbk.
BMRI.JK,BMRI,Bank Mandiri (Persero) Tbk.
BSDE.JK,BSDE,Bumi Serpong Damai Tbk.
BTPS.JK,BTPS,Bank BTPN Syariah Tbk.
CPIN.JK,CPIN,Charoen Pokphand Indonesia Tbk
CTRA.JK,CTRA,Ciputra Development Tbk.
ERAA.JK,ERAA,Erajaya Swasembada Tbk.
EXCL.JK,EXCL,XL Axiata Tbk.
GGRM.JK,GGRM,Gudang Garam Tbk.
HMSP.JK,HMSP,H.M. Sampoerna Tbk.
ICBP.JK,ICBP,Indofood CBP Sukses Makmur Tbk.
INCO.JK,INCO,Vale Indonesia Tbk.
INDF.JK,INDF,Indofood Sukses Makmur Tbk.
INKP.JK,INKP,Indah Kiat Pulp & Paper Tbk.
INTP.JK,INTP,Indocement Tunggal Prakarsa Tbk.
ITMG.JK,ITMG,Indo Tambangraya Megah Tbk.
JPFA.JK,JPFA,Japfa Comfeed Indonesia Tbk.
JSMR.JK,JSMR,Jasa Marga (Persero) Tbk.
KLBF.JK,KLBF,Kalbe Farma Tbk.
MDKA.JK,MDKA,Merdeka Copper Gold Tbk.
MEDC.JK,MEDC,Medco Energi Internasional Tbk.
MIKA.JK,MIKA,Mitra Keluarga Karyasehat Tbk.
MNCN.JK,MNCN,Media Nusantara Citra Tbk.
PGAS.JK,PGAS,Perusahaan Gas Negara Tbk.
PTBA.JK,PTBA,Bukit Asam Tbk.
PTPP.JK,PTPP,PP (Persero) Tbk.
PWON.JK,PWON,Pakuwon Jati Tbk.
SMGR.JK,SMGR,Semen Indonesia (Persero) Tbk.
SMRA.JK,SMRA,Summarecon Agung Tbk.
TBIG.JK,TBIG,Tower Bersama Infrastructure Tbk.
TKIM.JK,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM.JK,TLKM,Telkom Indonesia (Persero) Tbk.
TOWR.JK,TOWR,Sarana Menara Nusantara Tbk.
TPIA.JK,TPIA,Chandra Asri Petrochemical Tbk.
UNTR.JK,UNTR,United Tractors Tbk.
UNVR.JK,UNVR,Unilever Indonesia Tbk.
WIKA.JK,WIKA,Wijaya Karya (Persero) Tbk.
