Months,Start Dates,End Dates,Investing,Price-MA Cross,Price-2MA Cross,2MA Cross,Bollinger Bands,RSI Strategy,Stochastic,MACD Cross
1,14/11/2021,14/12/2021,2.0,2.93,2.36,0.04,0.09,0.0,0.18,0.76
2,14/10/2021,14/12/2021,2.0,6.44,5.29,0.27,0.36,0.0,0.58,1.51
3,14/09/2021,14/12/2021,2.0,9.42,7.38,0.71,0.8,0.04,1.56,3.24
4,14/08/2021,14/12/2021,2.0,13.87,9.42,1.29,1.2,0.13,2.13,4.71
5,14/07/2021,14/12/2021,2.0,18.58,10.44,1.64,1.78,0.36,3.02,6.58
6,14/06/2021,14/12/2021,2.0,21.69,11.47,1.91,2.67,0.89,3.78,8.13
7,14/05/2021,14/12/2021,2.0,24.98,12.49,2.31,2.8,1.02,4.36,9.91
8,14/04/2021,14/12/2021,2.0,28.93,13.29,2.62,3.07,1.11,4.76,11.6
9,14/03/2021,14/12/2021,2.0,32.84,14.89,3.07,3.56,1.16,5.16,13.02
10,14/02/2021,14/12/2021,2.0,36.18,17.29,3.42,3.87,1.2,5.56,14.8
11,14/01/2021,14/12/2021,2.0,40.09,20.18,3.47,4.67,1.33,6.31,16.89
12,14/12/2020,14/12/2021,2.0,43.6,23.29,3.51,4.76,1.33,6.58,18.36
13,14/11/2020,14/12/2021,2.0,46.36,26.04,3.96,4.8,1.33,6.71,19.2
14,14/10/2020,14/12/2021,2.0,49.47,28.4,5.38,5.16,1.38,7.33,20.62
15,14/09/2020,14/12/2021,2.0,53.38,30.93,5.47,5.56,1.78,8.71,22.8
16,14/08/2020,14/12/2021,2.0,56.36,33.64,5.82,6.84,1.91,8.98,23.56
17,14/07/2020,14/12/2021,2.0,60.76,37.78,6.22,7.47,1.96,9.6,25.51
18,14/06/2020,14/12/2021,2.0,66.36,40.98,6.67,7.51,1.96,10.27,27.07
19,14/05/2020,14/12/2021,2.0,69.64,41.96,7.73,7.73,2.04,10.98,28.13
20,14/04/2020,14/12/2021,2.0,73.2,42.31,8.4,8.13,2.04,11.82,28.89
21,14/03/2020,14/12/2021,2.0,76.04,42.31,8.4,8.67,2.62,13.38,30.89
22,14/02/2020,14/12/2021,2.0,78.8,42.62,8.4,9.6,3.69,13.42,32.31
23,14/01/2020,14/12/2021,2.0,82.4,44.27,8.67,9.87,3.69,14.04,33.73
24,14/12/2019,14/12/2021,2.0,85.96,46.22,9.42,9.96,3.69,14.36,34.98
25,14/11/2019,14/12/2021,2.0,90.36,48.0,9.64,10.8,3.78,15.69,37.33
26,14/10/2019,14/12/2021,2.0,94.04,50.18,10.4,11.11,3.82,15.87,38.76
27,14/09/2019,14/12/2021,2.0,97.82,52.49,10.84,11.6,4.04,17.07,40.53
28,14/08/2019,14/12/2021,2.0,101.47,54.13,10.98,12.09,4.18,18.0,42.89
29,14/07/2019,14/12/2021,2.0,105.73,56.76,11.11,13.02,4.22,18.44,44.31
30,14/06/2019,14/12/2021,2.0,110.18,59.51,12.36,13.38,4.22,18.93,45.96
31,14/05/2019,14/12/2021,2.0,113.11,60.53,12.71,13.73,4.76,20.67,48.0
32,14/04/2019,14/12/2021,2.0,116.09,62.13,12.98,14.84,5.2,20.84,49.56
33,14/03/2019,14/12/2021,2.0,120.27,64.8,13.56,15.16,5.33,21.24,51.38
34,14/02/2019,14/12/2021,2.0,124.04,67.78,13.73,15.56,5.38,22.27,53.33
35,14/01/2019,14/12/2021,2.0,128.09,71.69,14.22,15.96,5.38,22.67,54.44
36,14/12/2018,14/12/2021,2.0,132.04,74.76,14.58,16.36,5.42,23.33,56.0
37,14/11/2018,14/12/2021,2.0,135.64,77.16,15.24,16.8,5.6,23.82,57.51
38,14/10/2018,14/12/2021,2.0,140.22,79.47,15.91,17.51,5.91,24.53,59.51
39,14/09/2018,14/12/2021,2.0,144.13,81.47,16.27,18.18,6.13,25.2,61.47
40,14/08/2018,14/12/2021,2.0,148.67,83.78,16.84,18.58,6.36,25.96,63.6
41,14/07/2018,14/12/2021,2.0,151.87,85.69,17.51,18.8,6.36,26.09,64.58
42,14/06/2018,14/12/2021,2.0,155.78,86.93,18.04,19.91,6.8,27.38,66.71
43,14/05/2018,14/12/2021,2.0,158.89,87.73,18.53,20.04,7.02,28.22,68.67
44,14/04/2018,14/12/2021,2.0,161.6,88.71,18.89,20.8,7.11,29.02,69.73
45,14/03/2018,14/12/2021,2.0,166.13,91.2,18.98,21.11,7.16,30.09,72.04
46,14/02/2018,14/12/2021,2.0,169.6,93.82,19.11,21.51,7.2,30.27,73.16
47,14/01/2018,14/12/2021,2.0,173.64,97.51,19.64,21.78,7.2,30.67,74.31
48,14/12/2017,14/12/2021,2.0,177.29,99.91,20.58,22.04,7.29,31.16,75.73
49,14/11/2017,14/12/2021,2.0,181.33,102.13,20.8,22.89,7.69,32.36,77.91
50,14/10/2017,14/12/2021,2.0,185.16,105.07,21.42,23.29,7.73,32.62,79.78
51,14/09/2017,14/12/2021,2.0,189.69,108.27,21.87,23.64,7.82,33.29,82.09
52,14/08/2017,14/12/2021,2.0,193.82,111.6,22.27,24.27,7.96,33.87,83.78
53,14/07/2017,14/12/2021,2.0,198.09,114.53,22.71,24.67,8.22,34.36,85.24
54,14/06/2017,14/12/2021,2.0,201.42,116.84,23.33,24.93,8.36,34.84,87.02
55,14/05/2017,14/12/2021,2.0,206.27,120.0,23.56,25.2,8.53,35.69,88.93
56,14/04/2017,14/12/2021,2.0,209.16,122.31,23.78,25.78,8.71,36.36,90.49
57,14/03/2017,14/12/2021,2.0,212.8,125.38,24.22,26.09,8.71,36.62,92.67
58,14/02/2017,14/12/2021,2.0,216.44,127.38,24.84,26.58,8.76,37.33,93.6
59,14/01/2017,14/12/2021,2.0,221.07,128.93,25.56,26.89,8.89,38.13,95.69
60,14/12/2016,14/12/2021,2.0,225.02,130.27,26.31,27.47,9.07,38.93,97.42
61,14/11/2016,14/12/2021,2.0,228.89,131.56,26.4,27.69,9.51,40.04,99.42
62,14/10/2016,14/12/2021,2.0,232.36,133.87,26.84,28.27,9.78,40.22,101.69
63,14/09/2016,14/12/2021,2.0,237.16,137.64,27.2,28.53,9.82,41.11,103.82
64,14/08/2016,14/12/2021,2.0,240.84,140.93,27.2,29.2,9.87,41.64,105.2
65,14/07/2016,14/12/2021,2.0,244.0,143.91,27.87,29.24,9.87,41.82,106.44
66,14/06/2016,14/12/2021,2.0,247.91,146.62,28.62,29.69,9.91,42.62,108.09
67,14/05/2016,14/12/2021,2.0,251.82,149.24,28.98,30.09,10.27,43.87,110.31
68,14/04/2016,14/12/2021,2.0,255.07,151.47,29.11,30.89,10.44,44.22,111.87
69,14/03/2016,14/12/2021,2.0,258.53,154.13,29.47,31.2,10.49,44.67,113.07
70,14/02/2016,14/12/2021,2.0,261.29,156.27,30.04,31.56,10.58,45.33,114.49
71,14/01/2016,14/12/2021,2.0,265.29,158.58,30.76,32.13,10.71,45.96,116.18
72,14/12/2015,14/12/2021,2.0,269.51,161.2,31.07,32.36,10.76,46.49,118.22
73,14/11/2015,14/12/2021,2.0,272.62,163.29,31.16,32.84,11.16,47.02,120.09
